2018-19
FIRST TEAM

C: Kareem Abdul-Jabbar
G: Walt Frazier
G: Jerry West

SECOND TEAM

F: Billy Cunningham
F: Bob Love
C: Wilt Chamberlain
G: Tiny Archibald
G: Archie Clark

1970-71
FIRST TEAM

F: Billy Cunningham
F: John Havlicek
C: Kareem Abdul-Jabbar
G: Dave Bing
G: Jerry West

SECOND TEAM

F: Gus Johnson
F: Bob Love
C: Willis Reed
G: Walt Frazier
G: Oscar Robertson

1969-70
FIRST TEAM

F: Billy Cunningham
F: Connie Hawkins
C: Willis Reed
G: Walt Frazier
G: Jerry West

SECOND TEAM

F: Gus Johnson
F: John Havlicek
C: Kareem Abdul-Jabbar
G: Lou Hudson
G: Oscar Robertson

1968-69
FIRST TEAM

F: Billy Cunningham
F: Elgin Baylor
C: Wes Unseld
G: Earl Monroe
G: Oscar Robertson

SECOND TEAM

F: Dave DeBusschere
F: John Havlicek
C: Willis Reed
G: Hal Greer
G: Jerry West

1967-68
FIRST TEAM

F: Jerry Lucas
F: Elgin Baylor
C: Wilt Chamberlain
G: Dave Bing
G: Oscar Robertson

SECOND TEAM

F: Willis Reed
F: John Havlicek
C: Bill Russell
G: Hal Greer
G: Jerry West

1966-67
FIRST TEAM

F: Rick Barry
F: Elgin Baylor
C: Wilt Chamberlain
G: Jerry West
G: Oscar Robertson

SECOND TEAM

F: Willis Reed
F: Jerry Lucas
C: Bill Russell
G: Hal Greer
G: Sam Jones

1965-66
FIRST TEAM

F: Rick Barry
F: Jerry Lucas
C: Wilt Chamberlain
G: Jerry West
G: Oscar Robertson

SECOND TEAM

F: John Havlicek
F: Gus Johnson
C: Bill Russell
G: Hal Greer
G: Sam Jones

1964-65
FIRST TEAM

F: Elgin Baylor
F: Jerry Lucas
C: Bill Russell
G: Jerry West
G: Oscar Robertson

SECOND TEAM

F: Bob Pettit
F: Gus Johnsson
C: Wilt Chamberlain
G: Hal Greer
G: Sam Jones

1963-64
FIRST TEAM

F: Elgin Baylor
F: Bob Pettit
C: Wilt Chamberlain
G: Jerry West
G: Oscar Robertson

SECOND TEAM

F: Tom Heinsohn
F: Jerry Lucas
C: Bill Russell
G: Hal Greer
G: John Havlicek

1962-63
FIRST TEAM

F: Elgin Baylor
F: Bob Pettit
C: Bill Russell
G: Jerry West
G: Oscar Robertson

SECOND TEAM

F: Tom Heinsohn
F: Bailey Howell
C: Wilt Chamberlain
G: Hal Greer
G: Bob Cousy

1961-62
FIRST TEAM

F: Elgin baylor
F: Bob Pettit
C: Wilt Chamberlain
G: Jerry West
G: Oscar Robertson

SECOND TEAM

F: Tom Heinsohn
F: Jack Twyman
C: Bill Russell
G: Richie Guerin
G: Bob Cousy

1960-61
FIRST TEAM

F: Elgin Baylor
F: Bob Pettit
C: Wilt Chamberlain
G: Bob Cousy
G: Oscar Robertson

SECOND TEAM

F: Tom Heinsohn
F: Dolph Schayes
C: Bill Russell
G: Larry Costello
G: Gene Shue

1959-60
FIRST TEAM

F: Elgin Baylor
F: Bob Pettit
C: Wilt Chamberlain
G: Bob Cousy
G: Gene Shue

SECOND TEAM

F: Jack Twyman
F: Dolph Schayes
C: Bill Russell
G: Richie Griffin
G: Bill Sharman

1958-59
FIRST TEAM

F: Elgin Baylor
F: Bob Pettit
C: Bill Russell
G: Bob Cousy
G: Bill Sharman

SECOND TEAM

F: Paul Arizin
F: Cliff Hagan
C: Dolph Schayes
G: Richie Guerin
G: Slater Martin

1957-58
FIRST TEAM

F: Dolph Schayes
F: George Yardley
C: Bob Pettit
G: Bob Cousy
G: Bill Sharman

SECOND TEAM

F: Maurice Stokes
F: Cliff Hagan
C: Bill Russell
G: Tom Gola
G: Slater Martin

1956-57
FIRST TEAM

F: Dolph Schayes
F: Paul Arizin
C: Bob Pettit
G: Bob Cousy
G: Bill Sharman

SECOND TEAM

F: Maurice Stokes
F: George Yardley
C: Neil Johnson
G: Dick Garmaker
G: Slater Martin

1955-56
FIRST TEAM

F: Bob Pettit
F: Paul Arizin
C: Neil Johnson
G: Bob Cousy
G: Bill Sharman

SECOND TEAM

F: Maurice Stokes
F: Dolph Schayes
C: Clyde Lovellette
G: Jack George
G: Slater Martin

1954-55
FIRST TEAM

Bob Pettit
Dolph Schayes
Neil Johnson
Bob Cousy
Larry Foust

SECOND TEAM

Bill Sharman
Paul Seymour
Vern Mikkelsen
Harry Gallatin
Slater Martin

1953-54
FIRST TEAM

George Mikan
Dolph Schayes
Neil Johnston
Bob Cousy
Harry Gallatin

SECOND TEAM

Carl Braun
Ed Macauley
Jim Pollard
Paul Seymour
Bobby Wanzer

1952-53
FIRST TEAM

George Mikan
Dolph Schayes
Neil Johnston
Bob Cousy
Ed Macauley

SECOND TEAM

Bob Davies
Vern Mikkelsen
Andy Phillip
Bill Sharman
Bobby Wanzer

1951-52
FIRST TEAM

George Mikan
Bob Cousy
Ed Macauley
Paul Arizin
Bob Davies (tie)
Dolph Schayes (tie)

SECOND TEAM

Larry Foust
Vern Mikkelsen
Andy Phillip
Jim Pollard
Bobby Wanzer

1950-51
FIRST TEAM

Ralph Beard
Bob Davies
Alex Groza
Ed Macauley
George Mikan

SECOND TEAM

Frankie Brian
Vern Mikkelsen
Joe Fulks
Dick McGuire
Dolph Schayes

1949-50
FIRST TEAM

Max Zaslofsky
Bob Davies
Alex Groza
Jim Pollard
George Mikan

SECOND TEAM

Ralph Beard
Frankie Brian
Al Cervi
Fred Schaus
Dolph Schayes

1948-49
FIRST TEAM

Max Zaslofsky
Bob Davies
Joe Fulks
Jim Pollard
George Mikan

SECOND TEAM

Bob Feerick
John Logan
Bones McKinney
Arnie Risen
Kenny Sailors

1947-48
FIRST TEAM

Max Zaslofsky
Howie Dallmar
Joe Fulks
Bob Feerick
Ed Sadowski

SECOND TEAM

Carl Braun
Buddy Jeannette
John Logan
Stan Miasek
Fred Scolari

1946-47
FIRST TEAM

Max Zaslofsky
Bones McKinney
Joe Fulks
Bob Feerick
Stan Miasek

SECOND TEAM

Frankie Baumholtz
Ernie Calverley
Chick Halbert
John Logan
Fred Scolari
